record_id,record_base_path,fs,channel_count,window_start_sample,window_end_sample,window_samples,window_seconds,channel_index,channel_name,mean,std,rms,min,max,ptp,zero_cross_rate
100,/Users/umanocommovente/Projects/Signals-Lab/assets/datasets/raw/mit-bih/mit-bih-arrhythmia-database-1.0.0/100,360.0,2,0,10800,10800,30.0,0,MLII,-0.3353662037037037,0.17369678152851858,0.37767851739276886,-0.68,1.05,1.73,0.007037688674877304
100,/Users/umanocommovente/Projects/Signals-Lab/assets/datasets/raw/mit-bih/mit-bih-arrhythmia-database-1.0.0/100,360.0,2,0,10800,10800,30.0,1,V5,-0.24397546296296296,0.12885946928285766,0.27591446020796345,-0.525,0.815,1.3399999999999999,0.007222891008426706
101,/Users/umanocommovente/Projects/Signals-Lab/assets/datasets/raw/mit-bih/mit-bih-arrhythmia-database-1.0.0/101,360.0,2,0,10800,10800,30.0,0,MLII,-0.28082407407407406,0.20020852919188958,0.3448849311592792,-0.59,1.375,1.9649999999999999,0.007593295675525511
101,/Users/umanocommovente/Projects/Signals-Lab/assets/datasets/raw/mit-bih/mit-bih-arrhythmia-database-1.0.0/101,360.0,2,0,10800,10800,30.0,1,V1,-0.11048055555555555,0.04962330873754518,0.1211132772487225,-0.41,0.05,0.45999999999999996,0.010741735345865358
102,/Users/umanocommovente/Projects/Signals-Lab/assets/datasets/raw/mit-bih/mit-bih-arrhythmia-database-1.0.0/102,360.0,2,0,10800,10800,30.0,0,V5,-0.24159074074074077,0.17742489832009414,0.2997426905790291,-0.74,0.955,1.6949999999999998,0.008519307343272525
102,/Users/umanocommovente/Projects/Signals-Lab/assets/datasets/raw/mit-bih/mit-bih-arrhythmia-database-1.0.0/102,360.0,2,0,10800,10800,30.0,1,V2,-0.008924999999999995,1.1974842830968133,1.1975175422050772,-3.3,2.24,5.54,0.03454023520696361
103,/Users/umanocommovente/Projects/Signals-Lab/assets/datasets/raw/mit-bih/mit-bih-arrhythmia-database-1.0.0/103,360.0,2,0,10800,10800,30.0,0,MLII,-0.2392449074074074,0.31777867869237686,0.39777055490804225,-0.76,1.99,2.75,0.013704972682655801
103,/Users/umanocommovente/Projects/Signals-Lab/assets/datasets/raw/mit-bih/mit-bih-arrhythmia-database-1.0.0/103,360.0,2,0,10800,10800,30.0,1,V2,0.007142129629629626,0.23167248530482967,0.23178254995353503,-0.685,1.715,2.4000000000000004,0.049356421890915825
104,/Users/umanocommovente/Projects/Signals-Lab/assets/datasets/raw/mit-bih/mit-bih-arrhythmia-database-1.0.0/104,360.0,2,0,10800,10800,30.0,0,V5,-0.21135555555555557,0.2892771810377303,0.3582631132747737,-1.155,1.72,2.875,0.02250208352625243
104,/Users/umanocommovente/Projects/Signals-Lab/assets/datasets/raw/mit-bih/mit-bih-arrhythmia-database-1.0.0/104,360.0,2,0,10800,10800,30.0,1,V2,0.01929768518518519,0.25061851228180515,0.25136037745009027,-0.935,1.105,2.04,0.04426335771830725
